序号,UID,测试名称,指标名称,函数,维度,错误信息,分类,状态
1,7768a62122a8328b,testMetricFunctionDimension,one.rum.net.request.apdex,frm,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, userGroupId",指标 [one.rum.net.request.apdex] 支持函数 [frm]，但执行失败: SQL执行失败: 【one.query.rum.net.requestNum】 dimension [requestType] not exist,Product defects,failed
2,368bdcae7a15428d,testMetricFunctionDimension,one.rum.net.request.dns,avg,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.dns] 支持函数 [avg]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
3,dde75f3481d537c8,testMetricFunctionDimension,one.rum.net.request.request,avg,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.request] 支持函数 [avg]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
4,c3bd42e5eeb83d7c,testMetricFunctionDimension,one.rum.net.request.ssl,avg,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.ssl] 支持函数 [avg]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
5,ccd6b4700b01054c,testMetricFunctionDimension,one.rum.net.request.tcp,avg,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.tcp] 支持函数 [avg]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
6,55426d59fb3b0e3c,testMetricFunctionDimension,one.rum.net.request.errorRatio,frm,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.errorRatio] 支持函数 [frm]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
7,c9af5ad612f132a1,testMetricFunctionDimension,one.rum.net.request.errorSessionCount,uniqTheta,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.errorSessionCount] 支持函数 [uniqTheta]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
8,f03422118345eb32,testMetricFunctionDimension,one.rum.net.request.errorUserCount,uniqTheta,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.errorUserCount] 支持函数 [uniqTheta]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
9,6727a7b289afc5fe,testMetricFunctionDimension,one.rum.net.request.satisfyingCount,sum,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.satisfyingCount] 支持函数 [sum]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
10,fcd0116c47ef0c4b,testMetricFunctionDimension,one.rum.net.request.errorCount,sum,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.errorCount] 支持函数 [sum]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
